plant_id,date,species_breed,total_fresh_weight_with_pot_g,pot_weight_g,net_weight_g,pot_weight_source,notes
M001,2026-07-23,Mango,1450.0,710.0,740.0,estimated,
M002,2026-07-23,Mango,2050.0,850.0,1200.0,estimated,
M003,2026-07-24,Mango,2210.0,1050.0,1160.0,estimated,
M004,2026-07-24,Mango,1360.0,650.0,710.0,estimated,
M005,2026-07-24,Mango,1850.0,960.0,890.0,estimated,
M006,2026-07-24,Mango,2010.0,900.0,1110.0,estimated,
M007,2026-07-24,Mango,2150.0,970.0,1180.0,estimated,
M008,2026-07-24,Mango,1160.0,600.0,560.0,estimated,
M009,2026-07-24,Mango,2700.0,1230.0,1470.0,estimated,
M010,2026-07-24,Mango,2350.0,1150.0,1200.0,estimated,
E001,2026-07-31,Eucalyptus,1950.0,1400.0,550.0,estimated,
E002,2026-07-31,Eucalyptus,1800.0,1200.0,600.0,estimated,
E003,2026-07-31,Eucalyptus,1350.0,900.0,450.0,estimated,
E004,2026-07-31,Eucalyptus,1750.0,1050.0,700.0,estimated,
E005,2026-07-31,Eucalyptus,1300.0,900.0,400.0,estimated,
E006,2026-07-31,Eucalyptus,1500.0,990.0,510.0,estimated,
E007,2026-07-31,Eucalyptus,1800.0,1180.0,620.0,estimated,
E008,2026-07-31,Eucalyptus',1880.0,1180.0,700.0,estimated,
E009,2026-07-31,Eucalyptus,1400.0,960.0,440.0,estimated,
E010,2026-07-31,Eucalyptus,1150.0,740.0,410.0,estimated,
